category,n_pairs,severity,tone_gap,nli_rate,hedging,specificity,vagueness
THIRD_PARTY,297,0.0728,12.5209,0.0774,0.542,0.0402,0.0334
FIRST_PARTY,392,0.0575,8.854,0.0612,0.4626,0.0453,0.0246
SECURITY,112,0.0436,6.6773,0.0446,0.1604,0.0527,0.0102
RETENTION,18,0.0,8.6026,0.0,0.3439,0.0444,0.017
TRACKING,1,0.0,3.5613,0.0,0.5,0.0702,0.0175
