category,n_pairs,severity,tone_gap,nli_rate,hedging,specificity,vagueness
SALE_SHARING,9,0.1046,1.9868,0.1111,0.1708,0.0331,0.0135
SENSITIVE_DATA,10,0.0989,6.3344,0.1,0.363,0.0516,0.0227
FIRST_PARTY,155,0.0811,6.631,0.0903,0.3539,0.0287,0.0189
SECURITY,30,0.0333,3.4835,0.0333,0.0954,0.0239,0.0097
THIRD_PARTY,74,0.0284,7.8471,0.027,0.3981,0.0259,0.0309
AUTOMATED_DECISIONS,6,0.0,12.4987,0.0,0.3125,0.0,0.0063
RETENTION,20,0.0,13.9332,0.0,0.5193,0.0125,0.0177
TRACKING,14,0.0,2.5054,0.0,0.2797,0.0434,0.0194
