company,pwi,group
microsoft,1.0,non-enforced
tesla,0.736,non-enforced
linkedin,0.5606,enforced
venmo,0.5082,non-enforced
jasper,0.5004,non-enforced
motorola-solutions,0.2999,non-enforced
anduril,0.0,non-enforced
bumble,0.0,enforced
github,0.0,non-enforced
hilton,0.0,non-enforced
khan-academy,0.0,non-enforced
meta,0.0,enforced
northrop-grumman,0.0,non-enforced
pimeyes,0.0,non-enforced
united-airlines,0.0,non-enforced
xiaomi,0.0,non-enforced
zillow,0.0,non-enforced
